Hjemmebane,Udebane,Køretid,Afstand
Roskilde Padelklub,Padel Club Sønderborg,3.314638888888889,293.011
Padel Club Sønderborg,Silkeborg Tennis- og Padelklub,2.230055555555556,202.5122
Silkeborg Tennis- og Padelklub,Padel Club Sønderborg,2.230055555555556,202.5122
Padel Club Sønderborg,Skansen Padel,3.1860555555555554,308.3591
Skansen Padel,Padel Club Sønderborg,3.1860555555555554,308.3591
Padel Club Sønderborg,Staby Efterskole Padel,2.8481944444444447,246.2301
Staby Efterskole Padel,Padel Club Sønderborg,2.8481944444444447,246.2301
Padel Club Sønderborg,Padel4Alle,3.095277777777778,290.2471
Padel4Alle,Padel Club Sønderborg,3.095277777777778,290.2471
Padel Club Sønderborg,Tarup-Paarup Idrætsforening,1.748861111111111,160.269
Tarup-Paarup Idrætsforening,Padel Club Sønderborg,1.748861111111111,160.269
Padel Club Sønderborg,Vordingborg Padelklub,3.543972222222222,293.1994
Vordingborg Padelklub,Padel Club Sønderborg,3.543972222222222,293.1994
Padel Club Sønderborg,X-padel,3.917388888888889,362.2855
X-padel,Padel Club Sønderborg,3.917388888888889,362.2855
Padel Club Sønderborg,Rødvig G & I Padel,3.5966944444444446,315.3046
Rødvig G & I Padel,Padel Club Sønderborg,3.5966944444444446,315.3046
Padel Club Sønderborg,Odder Padel Klub,2.107666666666667,180.2744
Odder Padel Klub,Padel Club Sønderborg,2.107666666666667,180.2744
Padel Club Sønderborg,Vivild Gymnastik- og Idrætsefterskole,2.634055555555556,242.8912
Vivild Gymnastik- og Idrætsefterskole,Padel Club Sønderborg,2.634055555555556,242.8912
Padel Club Sønderborg,Match Padel Silkeborg syd,2.065472222222222,173.8698
Match Padel Silkeborg syd,Padel Club Sønderborg,2.065472222222222,173.8698
Padel Club Sønderborg,Aarup Padel,1.6218333333333337,146.8268
Aarup Padel,Padel Club Sønderborg,1.6218333333333337,146.8268
Padel Club Sønderborg,Gundsølille SG&IF,3.4667222222222227,303.0493
Gundsølille SG&IF,Padel Club Sønderborg,3.4667222222222227,303.0493
8660 Padel,8660 Padel,0.0,0.0
8660 Padel,8660 Padel,0.0,0.0
8660 Padel,Padel Professor Club,0.2446666666666666,15.7581
Padel Professor Club,8660 Padel,0.2446666666666666,15.7581
8660 Padel,8680 Padel,0.2469166666666666,13.4641
8680 Padel,8660 Padel,0.2469166666666666,13.4641
8660 Padel,PadelPadel Aalborg - AL Bank Arena,1.2784166666666663,121.174
PadelPadel Aalborg - AL Bank Arena,8660 Padel,1.2784166666666663,121.174
8660 Padel,PadelPadel Århus - LUNAR Arena,0.3649166666666666,26.4623
